127.0.0.1 - - [11/Mar/2021:09:34:39 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Mar/2021:09:35:25 +0100] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:09:35:25 +0100] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:09:35:25 +0100] "GET /nuovaGestioneStampeWeb/scambioPagina.html;jsessionid=D243B27F1E71F2BD44E2AE0C389E7159 HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [11/Mar/2021:09:35:25 +0100] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Mar/2021:09:35:28 +0100] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [11/Mar/2021:09:35:30 +0100] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [11/Mar/2021:09:35:30 +0100] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [11/Mar/2021:09:35:34 +0100] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [11/Mar/2021:09:35:34 +0100] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [11/Mar/2021:09:35:48 +0100] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 6079
0:0:0:0:0:0:0:1 - - [11/Mar/2021:09:35:48 +0100] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [11/Mar/2021:09:36:03 +0100] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=A296E53C31DCA8A085C60080BCBE566C&formato=modificabile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:09:39:05 +0100] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:09:39:05 +0100] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2021:09:39:05 +0100] "GET /nuovaGestioneStampeWeb/scambioPagina.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [11/Mar/2021:09:39:07 +0100] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
