0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:18 +0200] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:20 +0200] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:20 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:21 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:21 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:24 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 5900
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:24 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:57 +0200] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=8C8FB03C45BAB064B3F7708E9B4A9AAD&formato=modificabile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:12 +0200] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:12 +0200] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:12 +0200] "GET /nuovaGestioneStampeWeb/scambioPagina.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:19 +0200] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:21 +0200] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:21 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:22 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:22 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:26 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:26 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:33 +0200] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=0686968C31DCE5E1DDCF00806C4A07DC&formato=modificabile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:14:18 +0200] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:14:18 +0200] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:14:18 +0200] "GET /nuovaGestioneStampeWeb/scambioPagina.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:14:19 +0200] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:14:21 +0200] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:14:21 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:14:22 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:14:22 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:14:25 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:14:25 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:14:31 +0200] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=0686968C31DCE5E1DDCF00806C4A07DC&formato=modificabile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:15:26 +0200] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:15:26 +0200] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:15:26 +0200] "GET /nuovaGestioneStampeWeb/scambioPagina.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:15:28 +0200] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:15:56 +0200] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:15:56 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:16:02 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:16:03 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:16:07 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 3382
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:16:07 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:16:09 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:16:09 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:16:29 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:16:29 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:16:34 +0200] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=72ADF25E31DBFE1C128C008095B02C0F&formato=modificabile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:17:06 +0200] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:17:06 +0200] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:17:06 +0200] "GET /nuovaGestioneStampeWeb/scambioPagina.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:19:13 +0200] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:19:14 +0200] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:19:14 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:19:15 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:19:15 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:19:19 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:19:19 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:19:26 +0200] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=0686968C31DCE5E1DDCF00806C4A07DC&formato=modificabile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:19:51 +0200] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:19:51 +0200] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:19:51 +0200] "GET /nuovaGestioneStampeWeb/scambioPagina.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:19:53 +0200] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:20:00 +0200] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:20:00 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:20:50 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:20:50 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:20:54 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:20:54 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:21:00 +0200] "POST /nuovaGestioneStampeWeb/gestioneStampe.html HTTP/1.1" 200 6554
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:21:00 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:21:02 +0200] "POST /nuovaGestioneStampeWeb/gestioneStampe.html HTTP/1.1" 200 6554
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:21:02 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:21:07 +0200] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=0686968C31DCE5E1DDCF00806C4A07DC&formato=accessibile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:21:44 +0200] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:21:44 +0200] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:21:44 +0200] "GET /nuovaGestioneStampeWeb/scambioPagina.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:21:46 +0200] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:21:47 +0200] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:21:47 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:21:49 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:21:49 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:21:53 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:21:53 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:26:36 +0200] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=0686968C31DCE5E1DDCF00806C4A07DC&formato=modificabile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:27:39 +0200] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:27:39 +0200] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:27:39 +0200] "GET /nuovaGestioneStampeWeb/scambioPagina.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:27:41 +0200] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:27:44 +0200] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:27:44 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:29:27 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:29:27 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:29:30 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:29:30 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:31:24 +0200] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=0686968C31DCE5E1DDCF00806C4A07DC&formato=modificabile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:33:29 +0200] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:33:29 +0200] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:33:29 +0200] "GET /nuovaGestioneStampeWeb/scambioPagina.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:33:31 +0200] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:33:32 +0200] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:33:32 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:33:33 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:33:33 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:33:36 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:33:36 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:34:10 +0200] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=0686968C31DCE5E1DDCF00806C4A07DC&formato=modificabile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:35:11 +0200] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:35:11 +0200] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:35:11 +0200] "GET /nuovaGestioneStampeWeb/scambioPagina.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:35:13 +0200] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:35:14 +0200] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:35:14 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:35:15 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:35:15 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:35:18 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:35:18 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:35:21 +0200] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=0686968C31DCE5E1DDCF00806C4A07DC&formato=modificabile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:39:19 +0200] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:39:19 +0200] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:39:19 +0200] "GET /nuovaGestioneStampeWeb/scambioPagina.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:39:21 +0200] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:39:23 +0200] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:39:23 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:39:24 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:39:24 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:39:28 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:39:28 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:40:01 +0200] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=0686968C31DCE5E1DDCF00806C4A07DC&formato=modificabile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:40:08 +0200] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:40:08 +0200] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
